title,description,url,user_id,category
"Yehuda Katz - Why Rails is Hard","European Rails Conference Railsberry 2012, Day 2","http://www.youtube.com/watch?v=2Ex8EEv-WPs","8","Video"
"Stop Writing Classes","Classes are great but they are also overused. This talk will describe examples of class overuse taken from real world code and refactor the unnecessary classes, exceptions, and modules out of them.","http://www.youtube.com/watch?v=o9pEzgHorH0","6","Video"
"Using AngularJS with Rails - NYC Meetup","Jonathan E. Magen (from WeWork) gives a presentation entitled The Accidental Feature or: Using Angular.js on top of Rails.","http://www.youtube.com/watch?v=UjYIVwGbNC4","1","Video"
"Ruby on Rails 101: What is Ruby on Rails?","Veracode Security Researcher Ryan O'Boyle educates us about Ruby on Rails. He answers the following questions: What is Ruby on Rails? What makes Ruby on Rails a popular framework?","http://www.youtube.com/watch?v=yEmHb4Vu77w","3","Video"
"Refactor HTML Site Template to Ruby on Rails","HTML website templates from wrapbootstrap.com are awesome, but they are static need massaging to be used in a ruby on rails application.","http://www.youtube.com/watch?v=H7H0tgqwoSk","4","Video"
"Riding Ruby on Rails -ActiveRecord Models-ActiveRecord-Associations","Been meaning to learn Ruby on Rails, but felt that it was too hard? Well, not anymore. In this course, José Mota will take you through the process of creating dynamic and creative web applications, using Ruby on Rails. Come join us for the ride.","http://www.youtube.com/watch?v=IDhgI_ViZY4","7","Video"
"Ruby on Rails - Part 4: Advanced Active Record","This is an intensive one-day overview of the fundamental concepts of the Ruby on Rails Web programming framework, presented by the UC Berkeley RAD Lab. The overview consists of six sections of approximately one hour each.","http://www.youtube.com/watch?v=FdeQmEY6phA","4","Video"
"Ruby on Rails Code-Walkthrough/Tutorial","Here's a little Ruby on Rails tutorial for absolute beginners. Basically I go through the code of a Rails application and try to explain how it works.","http://www.youtube.com/watch?v=djApduemlf4","2","Video"
"Practicing Ruby","Practicing Ruby publishes fantastic articles every 2 weeks. The content tends to be intermediate to advanced in nature.","https://practicingruby.com/","3","Article"
"Ruby Learning","Free online tutorial, an e-book and an online Ruby course, covering the core concepts of Ruby programming language.","http://rubylearning.com/satishtalim/tutorial.html","3","Article"
"Ruby Koans","A set of exercises that lead to the enlightment of Ruby programming. Focuses on Ruby syntax, structure and common libraries. Good for experienced developers learning Ruby as another programming language.","http://rubykoans.com/","3","Article"
"Getting Started with Rails","This guide covers getting up and running with Ruby on Rails. After reading this guide, you will know: How to install Rails, create a new Rails application, and connect your application to a database. The basic principles of MVC (Model, View, Controller) and RESTful design.","http://guides.rubyonrails.org/getting_started.html","8","Article"
"David Heinemeier Hansson - Ruby on Rails, Startups, Culture","O'Reilly News talks to David Heinemeier Hansson about the current state of Ruby on Rails, what is next for the framework? and what Hansson is paying attention to? David also discusses his recent presentation at Y! Combinator's Startup School and his ideas about the culture of technology and innovation.","http://www.youtube.com/watch?v=sb2xzeWf-PM","2","Video"
"Big Ruby 2013 Services and Rails: The Shit They Don't Tell You","Building services and integrating them into Rails is hard. We want smaller Rails apps and nicely encapsulated services, but services introduce complexity. If you go overboard in the beginning, you're doing extra work and getting some of it wrong. If you wait too long, you've got a mess.","http://www.youtube.com/watch?v=GuJ49PNBsn8","1","Video"
"Aaron Peterson - Rails 4 and the Future of Web","What's new in Rails 4? How does Rails 4 fit in to the future of web development? Why are cats so important to the development of Ruby and Rails? All these questions and more will be answered if you attend this talk.","http://www.youtube.com/watch?v=kufXhNkm5WU","5","Video"
"How To Create a Ruby On Rails Blog","This is a great way to show how simple it is to create a fairly complex application using Rails. However, you will see that, in order to generate this application it is necessary to switch many times between standalone text editors, database tools, file managers, web browsers and command prompts. Ruby In Steel can greatly simplify this by integrating the entire development process into Visual Studio. Here I will guide you through the steps to creating a simple Blog application which allows multiple comments to be associated with each blog post.","http://www.sapphiresteel.com/Tutorials/Ruby-In-Steel-Tutorials/archives/Rails,25/How-To-Create-a-Ruby-On-Rails-Blog","5","Article"
